,Date,Flight number,From,Iata_from,From_lat,From_lon,To,Iata_to,To_lat,To_lon,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id
0,2022-06-28,FR1604,Kerkira / Ioannis Kapodistrias (CFU/LGKR),CFU,39.6019,19.9117,Marseille / Marseille Provence (MRS/LFML),MRS,43.4393,5.22142,09:40:00,10:55:00,02:15:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-EKO,4A,1,0,0,,531,1928,668,231
1,2022-06-25,FR7444,Marseille / Marseille Provence (MRS/LFML),MRS,43.4393,5.22142,Kerkira / Ioannis Kapodistrias (CFU/LGKR),CFU,39.6019,19.9117,10:25:00,13:30:00,02:05:00,Malta Air (AL/MAY),Boeing 737-800 (B738),9H-QDI,4A,1,0,0,,1928,531,2723,231
2,2022-05-17,U23062,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,Paris / Charles de Gaulle (CDG/LFPG),CDG,49.0097,2.54778,06:15:00,07:55:00,01:40:00,easyJet Europe (EC/EJU),Airbus A320-200 (A320),OE-ICP,8E,2,0,0,,2027,509,2665,2059
3,2022-03-18,W68299,Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF),FCO,41.8003,12.2389,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,16:30:00,17:50:00,01:20:00,Wizz Air (W6/WZZ),Airbus A321neo (A21N),,,0,0,0,,872,2027,859,2128
4,2022-03-18,EK97,Dubai / Dubai International (DXB/OMDB),DXB,25.2528,55.3644,Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF),FCO,41.8003,12.2389,09:10:00,13:25:00,06:15:00,Emirates (EK/UAE),Boeing 777-300ER (B77W),A6-EGS,,0,0,0,,768,872,807,2023
5,2022-03-17,EK375,Bangkok / Suvarnabhumi (BKK/VTBS),BKK,13.6811,100.747,Dubai / Dubai International (DXB/OMDB),DXB,25.2528,55.3644,09:55:00,13:00:00,06:05:00,Emirates (EK/UAE),Airbus A380-800 (A388),A6-EEI,,0,0,0,,331,768,807,39
6,2022-03-16,EK385,Hong Kong / Hong Kong International (HKG/VHHH),HKG,22.3089,113.915,Bangkok / Suvarnabhumi (BKK/VTBS),BKK,13.6811,100.747,21:30:00,23:45:00,03:15:00,Emirates (EK/UAE),Boeing 777-300ER (B77W),A6-ECO,,0,0,0,,1135,331,807,2023
7,2021-12-26,AY101,Helsinki / Vantaa (HEL/EFHK),HEL,60.3172,24.9633,Hong Kong / Hong Kong International (HKG/VHHH),HKG,22.3089,113.915,16:55:00,08:40:00,10:45:00,Finnair (AY/FIN),Airbus A350-900 (A359),OH-LWG,,0,0,0,,1110,1135,304,2110
8,2021-12-26,AY1602,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,Helsinki / Vantaa (HEL/EFHK),HEL,60.3172,24.9633,11:20:00,15:35:00,03:15:00,Finnair (AY/FIN),Airbus A320-200 (A320),OH-LXL,,0,0,0,,2027,1110,304,2059
9,2021-12-22,FR164,Vienna / Schwechat (VIE/LOWW),VIE,48.1103,16.5697,Marseille / Marseille Provence (MRS/LFML),MRS,43.4393,5.22142,07:05:00,09:05:00,02:00:00,Lauda Air (NG/LDA),Airbus A320-200 (A320),9H-LMC,,0,0,0,,3179,1928,467,2059
10,2021-12-21,W62850,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,Vienna / Schwechat (VIE/LOWW),VIE,48.1103,16.5697,13:20:00,15:05:00,01:45:00,Wizz Air (W6/WZZ),Airbus A321neo (A21N),HA-LVY,,0,0,0,,2027,3179,859,2128
11,2021-12-20,W68299,Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF),FCO,41.8003,12.2389,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,12:05:00,13:20:00,01:15:00,Wizz Air (W6/WZZ),Airbus A321neo (A21N),HA-LVU,,0,0,0,,872,2027,859,2128
12,2021-12-20,FR4855,Catania / Fontanarossa (CTA/LICC),CTA,37.4668,15.0664,Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF),FCO,41.8003,12.2389,08:05:00,09:30:00,01:25:00,Malta Air (AL/MAY),Boeing 737-800 (B738),9H-QBY,22E,2,0,0,,625,872,2723,231
13,2021-12-17,FR4891,Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF),FCO,41.8003,12.2389,Catania / Fontanarossa (CTA/LICC),CTA,37.4668,15.0664,16:25:00,17:50:00,01:25:00,Malta Air (AL/MAY),Boeing 737-800 (B738),9H-QBZ,3F,1,0,0,,872,625,2723,231
14,2021-12-17,W68300,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF),FCO,41.8003,12.2389,13:50:00,15:00:00,01:10:00,Wizz Air (W6/WZZ),Airbus A321neo (A21N),HA-LVO,,0,0,0,,2027,872,859,2128
15,2021-11-06,U21602,Tenerife-South / Reina Sofia (TFS/GCTS),TFS,28.044475,-16.572488,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,18:00:00,23:00:00,04:00:00,easyJet Europe (EC/EJU),Airbus A320-200 (A320),OE-IJW,28A,1,0,0,,2897,2027,2665,2059
16,2021-11-02,U21225,Mulhouse / Basel (BSL/LFSB),BSL,47.59,7.529167,Tenerife-South / Reina Sofia (TFS/GCTS),TFS,28.044475,-16.572488,12:25:00,16:00:00,04:35:00,Easyjet Switzerland (DS/EZS),Airbus A320-200 (A320),HB-JZR,,0,0,0,,4515,2897,290,2059
17,2021-10-30,U21002,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,Mulhouse / Basel (BSL/LFSB),BSL,47.59,7.529167,07:55:00,09:05:00,01:10:00,Easyjet Switzerland (DS/EZS),Airbus A319-100 (A319),HB-JYI,,0,0,0,,2027,4515,290,2073
18,2021-08-15,W65524,Alexandria / Borg El Arab (HBE/HEBA),HBE,30.9177,29.6964,Milan / Malpensa (MXP/LIMC),MXP,45.6306,8.72811,23:10:00,02:55:00,03:45:00,Wizz Air (W6/WZZ),Airbus A321neo (A21N),HA-LVQ,,0,0,0,,4557,1983,859,2128
19,2021-08-05,MS82,Cairo / Cairo (CAI/HECA),CAI,30.1219,31.4056,Aswan / Aswan (ASW/HESN),ASW,23.9644,32.82,06:30:00,07:50:00,01:20:00,Egyptair (MS/MSR),Airbus A220-300 (BCS3),SU-GFI,,0,0,0,,475,173,536,2142
20,2021-08-04,W65523,Milan / Malpensa (MXP/LIMC),MXP,45.6306,8.72811,Alexandria / Borg El Arab (HBE/HEBA),HBE,30.9177,29.6964,17:55:00,21:35:00,03:40:00,Wizz Air (W6/WZZ),Airbus A321neo (A21N),HA-LVQ,,0,0,0,,1983,4557,859,2128
21,2021-08-04,W65596,Brindisi / Casale (BDS/LIBR),BDS,40.6576,17.947,Milan / Malpensa (MXP/LIMC),MXP,45.6306,8.72811,13:20:00,15:05:00,01:45:00,Wizz Air (W6/WZZ),Airbus A321neo (A21N),HA-LVR,,0,0,0,,255,1983,859,2128
22,2021-08-04,FR3074,Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF),FCO,41.8003,12.2389,Brindisi / Casale (BDS/LIBR),BDS,40.6576,17.947,09:35:00,10:45:00,01:10:00,Malta Air (AL/MAY),Boeing 737-800 (B738),9H-QDK,,0,0,0,,872,255,2723,231
23,2021-08-03,FR3033,Tenerife-South / Reina Sofia (TFS/GCTS),TFS,28.044475,-16.572488,Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF),FCO,41.8003,12.2389,09:55:00,15:15:00,04:20:00,Malta Air (AL/MAY),Boeing 737-800 (B738),9H-QAP,,0,0,0,,2897,872,2723,231
24,2021-07-30,FR9105,Palma De Mallorca / Son Sant Joan (PMI/LEPA),PMI,39.5517,2.73881,Tenerife-North / Los Rodeos (TFN/GCXO),TFN,28.482653,-16.341535,09:10:00,11:25:00,03:15:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-DWR,,0,0,0,,2348,2896,668,231
25,2021-07-28,U22739,Milan / Malpensa (MXP/LIMC),MXP,45.6306,8.72811,Palma De Mallorca / Son Sant Joan (PMI/LEPA),PMI,39.5517,2.73881,07:15:00,09:00:00,01:45:00,easyJet Europe (EC/EJU),Airbus A319-100 (A319),OE-LKO,,0,0,0,,1983,2348,2665,2073
26,2021-07-27,U22560,Larnaca / Larnaca (LCA/LCLK),LCA,34.8751,33.6249,Milan / Malpensa (MXP/LIMC),MXP,45.6306,8.72811,23:05:00,01:50:00,03:45:00,easyJet Europe (EC/EJU),Airbus A320-200 (A320),OE-IVW,,0,0,0,,1572,1983,2665,2059
27,2021-07-24,FR3405,Amman / Queen Alia (AMM/OJAI),AMM,31.7226,35.9932,Pafos / Paphos (PFO/LCPH),PFO,34.718,32.4857,17:35:00,18:50:00,01:15:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-EMC,,0,0,0,,118,2302,668,231
28,2021-07-19,FR3135,Warsaw / Modlin (WMI/EPMO),WMI,52.4511,20.6518,Amman / Queen Alia (AMM/OJAI),AMM,31.7226,35.9932,05:50:00,10:45:00,03:55:00,Buzz (RR/RYS),Boeing 737-800 (B738),SP-RKO,,0,0,0,,4979,118,2757,231
29,2021-07-18,FR3167,Kyiv / Boryspil International Airport (KBP/UKBB),KBP,50.345,30.8947,Warsaw / Modlin (WMI/EPMO),WMI,52.4511,20.6518,13:10:00,13:50:00,01:40:00,Buzz (RR/RYS),Boeing 737-800 (B738),SP-RKQ,,0,0,0,,1388,4979,2757,231
